group_label,model_name,parameter_left,parameter_right,correlation
21-30,bgbw,n_1,beta_s_1,-0.00025055448515182014
21-30,bgbw,n_1,n_1,1.0000000000000002
21-30,tsallis_2c,norm_1,norm_1,1.0
21-30,tsallis_2c,norm_1,temperature_1,-0.9436460448368533
21-30,tsallis_2c,norm_1,q_1,0.20441969467418658
21-30,tsallis_2c,norm_1,norm_2,0.4394033678728708
21-30,tsallis_2c,norm_1,temperature_2,-0.3959068004541482
21-30,tsallis_2c,norm_1,q_2,0.28360049862245296
21-30,tsallis_2c,temperature_1,norm_1,-0.9436460448368533
21-30,tsallis_2c,temperature_1,temperature_1,0.9999999999999998
21-30,tsallis_2c,temperature_1,q_1,-0.22894378362804452
21-30,tsallis_2c,temperature_1,norm_2,-0.6669434187340945
21-30,tsallis_2c,temperature_1,temperature_2,0.6215363644165776
21-30,tsallis_2c,temperature_1,q_2,-0.48684622452946397
21-30,tsallis_2c,q_1,norm_1,0.20441969467418658
21-30,tsallis_2c,q_1,temperature_1,-0.22894378362804452
21-30,tsallis_2c,q_1,q_1,1.0
21-30,tsallis_2c,q_1,norm_2,-0.02250817070776073
21-30,tsallis_2c,q_1,temperature_2,0.018959658395169044
21-30,tsallis_2c,q_1,q_2,-0.011159559174290094
21-30,tsallis_2c,norm_2,norm_1,0.4394033678728708
21-30,tsallis_2c,norm_2,temperature_1,-0.6669434187340945
21-30,tsallis_2c,norm_2,q_1,-0.02250817070776073
21-30,tsallis_2c,norm_2,norm_2,1.0
21-30,tsallis_2c,norm_2,temperature_2,-0.9903599172630991
21-30,tsallis_2c,norm_2,q_2,0.8931657881269106
21-30,tsallis_2c,temperature_2,norm_1,-0.3959068004541482
21-30,tsallis_2c,temperature_2,temperature_1,0.6215363644165776
21-30,tsallis_2c,temperature_2,q_1,0.018959658395169044
21-30,tsallis_2c,temperature_2,norm_2,-0.9903599172630991
21-30,tsallis_2c,temperature_2,temperature_2,0.9999999999999999
21-30,tsallis_2c,temperature_2,q_2,-0.9407340715159979
21-30,tsallis_2c,q_2,norm_1,0.28360049862245296
21-30,tsallis_2c,q_2,temperature_1,-0.48684622452946397
21-30,tsallis_2c,q_2,q_1,-0.011159559174290094
21-30,tsallis_2c,q_2,norm_2,0.8931657881269106
21-30,tsallis_2c,q_2,temperature_2,-0.9407340715159979
21-30,tsallis_2c,q_2,q_2,1.0
31-40,juttner_1c,norm_1,norm_1,1.0000000000000002
31-40,juttner_1c,norm_1,temperature_1,-0.9825786716879118
31-40,juttner_1c,norm_1,U_1,0.0001643332334973202
31-40,juttner_1c,temperature_1,norm_1,-0.9825786716879118
31-40,juttner_1c,temperature_1,temperature_1,1.0000000000000002
31-40,juttner_1c,temperature_1,U_1,0.003138805287671081
31-40,juttner_1c,U_1,norm_1,0.0001643332334973202
31-40,juttner_1c,U_1,temperature_1,0.003138805287671081
31-40,juttner_1c,U_1,U_1,1.0000000000000002
31-40,bose_1c,norm_1,norm_1,1.0
31-40,bose_1c,norm_1,temperature_1,-0.9808287001621805
31-40,bose_1c,norm_1,U_1,0.0011609864321747213
31-40,bose_1c,temperature_1,norm_1,-0.9808287001621805
31-40,bose_1c,temperature_1,temperature_1,1.0
31-40,bose_1c,temperature_1,U_1,0.021123223658830247
31-40,bose_1c,U_1,norm_1,0.0011609864321747213
31-40,bose_1c,U_1,temperature_1,0.021123223658830247
31-40,bose_1c,U_1,U_1,1.0000000000000002
31-40,tsallis_1c,norm_1,norm_1,0.9999999999999999
31-40,tsallis_1c,norm_1,temperature_1,-0.9771609202569953
31-40,tsallis_1c,norm_1,q_1,0.8335494638115793
31-40,tsallis_1c,temperature_1,norm_1,-0.9771609202569953
31-40,tsallis_1c,temperature_1,temperature_1,1.0
31-40,tsallis_1c,temperature_1,q_1,-0.9100646214209661
31-40,tsallis_1c,q_1,norm_1,0.8335494638115793
31-40,tsallis_1c,q_1,temperature_1,-0.9100646214209661
31-40,tsallis_1c,q_1,q_1,1.0
31-40,bgbw,norm_1,norm_1,1.0
31-40,bgbw,norm_1,temperature_1,-0.9843162577250512
31-40,bgbw,norm_1,beta_s_1,0.8834925698938326
31-40,bgbw,norm_1,n_1,0.0002371823010372207
31-40,bgbw,temperature_1,norm_1,-0.9843162577250512
31-40,bgbw,temperature_1,temperature_1,1.0
31-40,bgbw,temperature_1,beta_s_1,-0.9341597420281312
31-40,bgbw,temperature_1,n_1,-0.00028375764974414167
31-40,bgbw,beta_s_1,norm_1,0.8834925698938326
31-40,bgbw,beta_s_1,temperature_1,-0.9341597420281312
31-40,bgbw,beta_s_1,beta_s_1,0.9999999999999999
31-40,bgbw,beta_s_1,n_1,0.00011450593580936171
31-40,bgbw,n_1,norm_1,0.0002371823010372207
31-40,bgbw,n_1,temperature_1,-0.00028375764974414167
31-40,bgbw,n_1,beta_s_1,0.00011450593580936171
31-40,bgbw,n_1,n_1,0.9999999999999998
31-40,juttner_2c,norm_1,norm_1,1.0
31-40,juttner_2c,norm_1,temperature_1,-0.9824563119241937
31-40,juttner_2c,norm_1,U_1,-0.0011798596508642387
31-40,juttner_2c,norm_1,norm_2,0.686826556505579
31-40,juttner_2c,norm_1,temperature_2,-0.6678319398542726
31-40,juttner_2c,norm_1,U_2,5.844940346232882e-05
31-40,juttner_2c,temperature_1,norm_1,-0.9824563119241937
31-40,juttner_2c,temperature_1,temperature_1,1.0000000000000002
31-40,juttner_2c,temperature_1,U_1,-0.02215102016735738
31-40,juttner_2c,temperature_1,norm_2,-0.7499933835661131
31-40,juttner_2c,temperature_1,temperature_2,0.7302033957256517
31-40,juttner_2c,temperature_1,U_2,-6.178086819565702e-05
31-40,juttner_2c,U_1,norm_1,-0.0011798596508642387
31-40,juttner_2c,U_1,temperature_1,-0.02215102016735738
31-40,juttner_2c,U_1,U_1,0.9999999999999999
