source_record,source_table,source_table_doi,source_location,description,observable_kind,eta_range,multiplicity_selection,pt_selection,extrapolated,row_index,pt_low_gev,pt_high_gev,pt_center_gev,yield_value,stat_error,sys_error_minus,sys_error_plus,sys_error,total_error,fit_ready,manuscript_bin,mapping_status
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,Data from figure 2,Transverse momentum spectra as a function of the event multiplicity for pp collisions at 13 TeV. Event multiplicity is estimated with the number of SPD tracklets. Uncorrelated systematic uncertainties are the multiplicity dependent systematic uncertainties.,pt_spectrum,,41-50,,False,6,0.4,0.45,0.42500000000000004,14.92,0.006907,,,,0.006907,True,41-50,matched_to_manuscript_bin
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,Data from figure 2,Transverse momentum spectra as a function of the event multiplicity for pp collisions at 13 TeV. Event multiplicity is estimated with the number of SPD tracklets. Uncorrelated systematic uncertainties are the multiplicity dependent systematic uncertainties.,pt_spectrum,,51-60,,False,6,0.4,0.45,0.42500000000000004,19.6,0.0117,,,,0.0117,True,51-60,matched_to_manuscript_bin
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,Data from figure 2,Transverse momentum spectra as a function of the event multiplicity for pp collisions at 13 TeV. Event multiplicity is estimated with the number of SPD tracklets. Uncorrelated systematic uncertainties are the multiplicity dependent systematic uncertainties.,pt_spectrum,,61-70,,False,6,0.4,0.45,0.42500000000000004,24.05,0.01987,,,,0.01987,True,61-70,matched_to_manuscript_bin
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,Data from figure 2,Transverse momentum spectra as a function of the event multiplicity for pp collisions at 13 TeV. Event multiplicity is estimated with the number of SPD tracklets. Uncorrelated systematic uncertainties are the multiplicity dependent systematic uncertainties.,pt_spectrum,,71-80,,False,6,0.4,0.45,0.42500000000000004,28.32,0.03422,,,,0.03422,True,71-80,matched_to_manuscript_bin
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,Data from figure 2,Transverse momentum spectra as a function of the event multiplicity for pp collisions at 13 TeV. Event multiplicity is estimated with the number of SPD tracklets. Uncorrelated systematic uncertainties are the multiplicity dependent systematic uncertainties.,pt_spectrum,,81-90,,False,6,0.4,0.45,0.42500000000000004,32.45,0.06003,,,,0.06003,True,81-90,matched_to_manuscript_bin
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,Data from figure 2,Transverse momentum spectra as a function of the event multiplicity for pp collisions at 13 TeV. Event multiplicity is estimated with the number of SPD tracklets. Uncorrelated systematic uncertainties are the multiplicity dependent systematic uncertainties.,pt_spectrum,,91-100,,False,6,0.4,0.45,0.42500000000000004,36.45,0.1073,,,,0.1073,True,91-100,matched_to_manuscript_bin
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,Data from figure 2,Transverse momentum spectra as a function of the event multiplicity for pp collisions at 13 TeV. Event multiplicity is estimated with the number of SPD tracklets. Uncorrelated systematic uncertainties are the multiplicity dependent systematic uncertainties.,pt_spectrum,,101-125,,False,6,0.4,0.45,0.42500000000000004,41.2,0.1708,,,,0.1708,True,101-125,matched_to_manuscript_bin
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,Data from figure 2,Transverse momentum spectra as a function of the event multiplicity for pp collisions at 13 TeV. Event multiplicity is estimated with the number of SPD tracklets. Uncorrelated systematic uncertainties are the multiplicity dependent systematic uncertainties.,pt_spectrum,,126-150,,False,6,0.4,0.45,0.42500000000000004,49.15,0.5736,,,,0.5736,True,126-150,matched_to_manuscript_bin
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,Data from figure 2,Transverse momentum spectra as a function of the event multiplicity for pp collisions at 13 TeV. Event multiplicity is estimated with the number of SPD tracklets. Uncorrelated systematic uncertainties are the multiplicity dependent systematic uncertainties.,pt_spectrum,,21-30,,False,7,0.45,0.5,0.475,3.046,0.001344,,,,0.001344,True,21-30,matched_to_manuscript_bin
ins1735345,Table 1,10.17182/hepdata.91996.v2/t1,Data from figure 2,Transverse momentum spectra as a function of the event multiplicity for pp collisions at 13 TeV. Event multiplicity is estimated with the number of SPD tracklets. Uncorrelated systematic uncertainties are the multiplicity dependent systematic uncertainties.,pt_spectrum,,31-40,,False,7,0.45,0.5,0.475,8.722,0.003715,,,,0.003715,True,31-40,matched_to_manuscript_bin
